City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mar Del Plata,AR,60.8,drizzle,-38.0,-57.56,
1,Busselton,AU,57.0,broken clouds,-33.65,115.33,
4,Port Elizabeth,ZA,64.0,few clouds,-33.92,25.57,
6,Trelew,AR,70.61,clear sky,-43.25,-65.31,
7,Sabha,LY,67.14,clear sky,27.04,14.43,
8,Sur,OM,76.41,clear sky,22.57,59.53,
9,Vaini,TO,75.2,overcast clouds,-21.2,-175.2,
10,Fortuna,US,61.0,overcast clouds,40.6,-124.16,
15,Arraial Do Cabo,BR,69.8,moderate rain,-22.97,-42.03,
18,Atuona,PF,78.73,clear sky,-9.8,-139.03,
19,Mataura,NZ,72.0,overcast clouds,-46.19,168.86,
21,Faanui,PF,79.14,scattered clouds,-16.48,-151.75,
22,Lompoc,US,66.2,overcast clouds,34.64,-120.46,
23,Saint-Pierre,RE,68.0,clear sky,-21.34,55.48,
24,Cidreira,BR,69.64,broken clouds,-30.18,-50.21,
25,Antalaha,MG,70.57,clear sky,-14.9,50.28,
26,Kropotkin,RU,63.0,clear sky,45.44,40.58,
27,Vung Tau,VN,78.35,light rain,10.35,107.08,
28,Constitucion,CL,56.89,light rain,-35.33,-72.42,
29,Rikitea,PF,74.64,broken clouds,-23.12,-134.97,
31,Bredasdorp,ZA,64.4,clear sky,-34.53,20.04,
33,Souillac,MU,71.6,shower rain,-20.52,57.52,
34,Bajna,IN,71.94,clear sky,27.9,77.68,
35,Shabqadar,PK,64.58,clear sky,34.21,71.56,
36,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,
38,Bethel,US,57.99,overcast clouds,41.37,-73.41,
39,Hong Gai,VN,75.2,overcast clouds,20.96,107.09,
40,Uvira,CD,76.32,scattered clouds,-3.41,29.15,
43,Kapaa,US,84.0,moderate rain,22.08,-159.32,
44,Buraydah,SA,64.4,clear sky,26.33,43.98,
45,Akyab,MM,78.73,light rain,20.15,92.9,
49,Esmeralda,CU,80.6,light rain,21.85,-78.12,
51,Kahului,US,87.8,few clouds,20.89,-156.47,
52,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,
53,Hithadhoo,MV,83.28,scattered clouds,-0.6,73.08,
55,Praia,CV,78.8,overcast clouds,14.92,-23.51,
56,Harlingen,US,80.6,clear sky,26.19,-97.7,
57,Hermanus,ZA,62.01,clear sky,-34.42,19.23,
59,Healdsburg,US,61.0,broken clouds,38.61,-122.87,
60,Ponta Do Sol,PT,66.2,scattered clouds,32.67,-17.1,
62,Tres Picos,MX,87.8,light rain,15.87,-93.53,
65,Gambela,ET,71.96,scattered clouds,8.25,34.58,
67,Butaritari,KI,82.06,few clouds,3.07,172.79,
69,Christchurch,NZ,71.6,broken clouds,-43.53,172.63,
70,Bluff,NZ,72.0,overcast clouds,-46.6,168.33,
71,Havelock,US,79.0,clear sky,34.88,-76.9,
72,Angoche,MZ,75.47,clear sky,-16.23,39.91,
73,Necochea,AR,62.47,few clouds,-38.55,-58.74,
74,Tabou,CI,78.12,scattered clouds,4.42,-7.35,
75,Radis,TN,66.2,few clouds,36.77,10.28,
77,Kaitangata,NZ,64.92,overcast clouds,-46.28,169.85,
81,Carnarvon,AU,69.8,broken clouds,-24.87,113.63,
82,Port Alfred,ZA,65.8,few clouds,-33.59,26.89,
83,Sembe,CG,73.02,overcast clouds,1.65,14.58,
84,Mount Isa,AU,69.8,clear sky,-20.73,139.5,
86,Russell,US,69.8,heavy intensity rain,32.35,-85.2,
88,East London,ZA,69.82,clear sky,-33.02,27.91,
89,Fenoarivo,MG,59.0,few clouds,-18.93,47.44,
92,Tetouan,MA,62.6,few clouds,35.57,-5.37,
93,Kribi,CM,78.26,overcast clouds,2.95,9.92,
94,Cervo,ES,62.01,moderate rain,43.67,-7.41,
95,Arinos,BR,70.23,overcast clouds,-15.92,-46.11,
97,Cape Town,ZA,61.0,few clouds,-33.93,18.42,
98,Wellington,NZ,60.8,broken clouds,-41.29,174.78,
100,Yaan,NG,76.1,light rain,7.38,8.57,
101,Cabo Rojo,PR,86.0,scattered clouds,18.09,-67.15,
102,Namibe,AO,68.76,broken clouds,-15.2,12.15,
103,Vila Velha,BR,72.0,moderate rain,-20.33,-40.29,
