City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Trelew,AR,70.61,clear sky,-43.25,-65.31,Hotel Touring Club
7,Sabha,LY,67.14,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
8,Sur,OM,76.41,clear sky,22.57,59.53,Sur Plaza Hotel
9,Vaini,TO,75.2,overcast clouds,-21.2,-175.2,Keleti Beach Resort
15,Arraial Do Cabo,BR,69.8,moderate rain,-22.97,-42.03,Pousada Porto Praia
18,Atuona,PF,78.73,clear sky,-9.8,-139.03,Villa Enata
19,Mataura,NZ,72.0,overcast clouds,-46.19,168.86,Ellie's Villa
21,Faanui,PF,79.14,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
22,Lompoc,US,66.2,overcast clouds,34.64,-120.46,Holiday Inn Express Lompoc
23,Saint-Pierre,RE,68.0,clear sky,-21.34,55.48,Lindsey Hôtel
24,Cidreira,BR,69.64,broken clouds,-30.18,-50.21,Hotel Castelo
25,Antalaha,MG,70.57,clear sky,-14.9,50.28,Hotel Vitasoa
27,Vung Tau,VN,78.35,light rain,10.35,107.08,Seaside Resort
29,Rikitea,PF,74.64,broken clouds,-23.12,-134.97,Pension Maro'i
33,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
34,Bajna,IN,71.94,clear sky,27.9,77.68,Mr. Uma Shankar Gupta ji
36,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
39,Hong Gai,VN,75.2,overcast clouds,20.96,107.09,Hạ Long DC Hotel
40,Uvira,CD,76.32,scattered clouds,-3.41,29.15,Auberge Eden City
43,Kapaa,US,84.0,moderate rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
45,Akyab,MM,78.73,light rain,20.15,92.9,Hotel Memory
49,Esmeralda,CU,80.6,light rain,21.85,-78.12,campismo las palmas
52,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
53,Hithadhoo,MV,83.28,scattered clouds,-0.6,73.08,Scoop Guest House
55,Praia,CV,78.8,overcast clouds,14.92,-23.51,LT Aparthotel
56,Harlingen,US,80.6,clear sky,26.19,-97.7,Courtyard by Marriott Harlingen
60,Ponta Do Sol,PT,66.2,scattered clouds,32.67,-17.1,Hotel do Campo
65,Gambela,ET,71.96,scattered clouds,8.25,34.58,Solomon Debebe Hotel
67,Butaritari,KI,82.06,few clouds,3.07,172.79,Isles Sunset Lodge
69,Christchurch,NZ,71.6,broken clouds,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
70,Bluff,NZ,72.0,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
71,Havelock,US,79.0,clear sky,34.88,-76.9,Sherwood Motel
72,Angoche,MZ,75.47,clear sky,-16.23,39.91,Guest House HESADA
74,Tabou,CI,78.12,scattered clouds,4.42,-7.35,hotêl doufoulougou
75,Radis,TN,66.2,few clouds,36.77,10.28,sms informatique
81,Carnarvon,AU,69.8,broken clouds,-24.87,113.63,Hospitality Carnarvon
82,Port Alfred,ZA,65.8,few clouds,-33.59,26.89,The Halyards Hotel
83,Sembe,CG,73.02,overcast clouds,1.65,14.58,
84,Mount Isa,AU,69.8,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
86,Russell,US,69.8,heavy intensity rain,32.35,-85.2,Macs
88,East London,ZA,69.82,clear sky,-33.02,27.91,Tu Casa
93,Kribi,CM,78.26,overcast clouds,2.95,9.92,Les Vagues bleues
95,Arinos,BR,70.23,overcast clouds,-15.92,-46.11,Hotel Dias
100,Yaan,NG,76.1,light rain,7.38,8.57,
102,Namibe,AO,68.76,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
103,Vila Velha,BR,72.0,moderate rain,-20.33,-40.29,Hotel Vitória Palace
104,Inongo,CD,72.5,overcast clouds,-1.95,18.27,Hotel Du Lac
107,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
108,Ribeira Grande,PT,66.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
115,Pasni,PK,77.31,clear sky,25.26,63.47,3G hotel pasni
118,Brigantine,US,73.4,broken clouds,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
119,Phonhong,LA,68.95,broken clouds,18.5,102.42,Napakuang Resort
120,Saint-Philippe,RE,71.6,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
121,Bengkulu,ID,76.28,light rain,-3.8,102.27,Grage Hotel Bengkulu
122,Chuy,UY,66.92,few clouds,-33.7,-53.46,Nuevo Hotel Plaza
123,Ratnagiri,IN,76.68,scattered clouds,16.98,73.3,Hotel Landmark
125,Pisco,PE,66.2,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
132,Vao,NC,73.04,broken clouds,-22.67,167.48,Hotel Kou-Bugny
137,Georgetown,MY,77.0,scattered clouds,5.41,100.34,Cititel Penang
138,Vanimo,PG,78.94,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
139,Sterling,US,69.01,overcast clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
145,Castro,BR,67.93,light rain,-24.79,-50.01,CHACARA BAILLY
146,Cururupu,BR,79.41,few clouds,-1.83,-44.87,Pousada Través'cia
147,Athens,GR,68.0,clear sky,37.98,23.72,Novotel Athenes
151,Marrakesh,MA,66.2,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
152,Salaverry,PE,66.2,clear sky,-8.23,-78.97,ELACORP Alojamiento
155,San Antonio,US,71.01,scattered clouds,29.42,-98.49,Marriott Plaza San Antonio
159,Magdiwang,PH,81.73,moderate rain,12.49,122.51,Sanctuary Garden Resort
160,Kavieng,PG,83.12,overcast clouds,-2.57,150.8,Nusa Island Retreat
162,Buba,GW,78.76,few clouds,11.58,-15.0,Pousada Bela Vista
163,Guymon,US,69.8,clear sky,36.68,-101.48,Super 8 Guymon
164,Levelland,US,70.0,scattered clouds,33.59,-102.38,Holiday Inn Express & Suites Levelland
165,Laharpur,IN,68.41,clear sky,27.72,80.9,Babu Ji Moeed
166,Saint-Leu,RE,71.6,clear sky,-21.15,55.28,La Caz Oceane
167,Hilo,US,80.6,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
168,Anori,BR,79.79,moderate rain,-3.77,-61.64,Novo Hotel 05 Irmaos
170,Iralaya,HN,79.41,overcast clouds,15.0,-83.23,Iglesia morava renovada
173,Tiarei,PF,84.2,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
174,Bathsheba,BB,84.2,shower rain,13.22,-59.52,Atlantis Hotel
176,George Town,MY,77.0,scattered clouds,5.41,100.34,Cititel Penang
179,Gigmoto,PH,81.12,moderate rain,13.78,124.39,Cj's Travellers Inn
185,Sao Filipe,CV,81.39,overcast clouds,14.9,-24.5,Tortuga B&B
187,Harper,LR,78.06,overcast clouds,4.38,-7.72,Screensaver
188,Pizarro,CO,77.54,light rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
191,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
194,San Patricio,US,73.99,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
200,Arlit,NE,81.63,clear sky,18.74,7.39,Hôtel Telwa Bungalow
201,Balabac,PH,81.27,light rain,7.99,117.06,Sing and Swing Lodge
203,Sola,VU,84.2,broken clouds,-13.88,167.55,Ulkel Guest House
204,Grand Gaube,MU,69.01,moderate rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
207,Kollam,IN,80.6,mist,8.88,76.6,The Raviz Ashtamudi
209,Poum,NC,77.45,clear sky,-20.23,164.02,Gîte kajeon
210,Bukama,CD,76.95,scattered clouds,-9.2,25.85,
211,Mareeba,AU,77.0,overcast clouds,-17.0,145.43,Trinity Plains Tourist Park
212,Totness,SR,82.85,overcast clouds,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
214,Mayo,US,72.0,overcast clouds,38.89,-76.51,Resorts Resource Group International
215,Diu,IN,79.63,scattered clouds,20.71,70.98,Hotel Relax Inn
218,Agadez,NE,73.08,clear sky,19.75,10.25,
220,Bambous Virieux,MU,71.6,shower rain,-20.34,57.76,Casa Tia Villa
227,Raisen,IN,70.38,clear sky,23.33,77.8,Hotel Amogh
228,Kismayo,SO,79.68,overcast clouds,-0.36,42.55,Agan-Hotel
229,Bilma,NE,74.26,clear sky,18.69,12.92,Expeditions Ténére voyages
235,Dillon,US,82.0,broken clouds,34.42,-79.37,Dillon Express Inn
236,Guerrero Negro,MX,73.22,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
237,Gamba,GA,77.07,light rain,-2.65,10.0,
240,Caravelas,BR,75.42,heavy intensity rain,-17.71,-39.25,Pousada dos Navegantes
242,Kulhudhuffushi,MV,82.38,light rain,6.62,73.07,Haajy Guest House 1
243,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
246,Iracoubo,GF,83.03,light rain,5.48,-53.2,Le Gite D Iracoubo
248,Yeppoon,AU,71.6,overcast clouds,-23.13,150.73,Villa Mar Colina
251,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
252,Ouadda,CF,70.52,overcast clouds,8.08,22.4,
254,Saint George,US,80.01,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
255,Gat,IL,78.8,scattered clouds,31.61,34.76,OlusHome
259,Shwebo,MM,74.57,overcast clouds,22.57,95.7,MOON SHINE Guest House
260,Celestun,MX,83.23,broken clouds,20.87,-90.4,Posada Lilia
263,Half Moon Bay,US,68.0,broken clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
264,Tuatapere,NZ,72.0,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
266,Qeshm,IR,75.2,clear sky,26.96,56.27,Kimia IV Hotel
269,Daru,PG,78.94,overcast clouds,-9.08,143.21,New century hotel
