City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mar Del Plata,AR,-38.0,-57.56,60.8,93,90,8.05,drizzle
1,Busselton,AU,-33.65,115.33,57.0,50,71,10.0,broken clouds
2,Albany,US,42.6,-73.97,52.0,72,45,4.0,scattered clouds
3,Hobart,AU,-42.88,147.33,46.0,65,75,12.75,shower rain
4,Port Elizabeth,ZA,-33.92,25.57,64.0,82,19,1.01,few clouds
5,Krasnoselkup,RU,65.7,82.47,7.72,95,84,9.04,broken clouds
6,Trelew,AR,-43.25,-65.31,70.61,37,9,19.71,clear sky
7,Sabha,LY,27.04,14.43,67.14,26,0,6.29,clear sky
8,Sur,OM,22.57,59.53,76.41,58,0,9.71,clear sky
9,Vaini,TO,-21.2,-175.2,75.2,88,90,11.41,overcast clouds
10,Fortuna,US,40.6,-124.16,61.0,67,90,11.41,overcast clouds
11,Dikson,RU,73.51,80.55,22.87,94,11,6.17,few clouds
12,Jamestown,US,42.1,-79.24,44.01,80,90,5.82,overcast clouds
13,Kodiak,US,57.79,-152.41,44.6,100,40,2.66,mist
14,Saskylakh,RU,71.92,114.08,14.67,94,100,22.08,light snow
15,Arraial Do Cabo,BR,-22.97,-42.03,69.8,100,90,13.87,moderate rain
16,Yellowknife,CA,62.46,-114.35,26.6,58,40,9.17,scattered clouds
17,Olafsvik,IS,64.89,-23.71,41.56,75,100,42.97,overcast clouds
18,Atuona,PF,-9.8,-139.03,78.73,74,1,22.75,clear sky
19,Mataura,NZ,-46.19,168.86,72.0,57,93,17.0,overcast clouds
20,Seoul,KR,37.57,126.98,39.2,100,1,1.25,clear sky
21,Faanui,PF,-16.48,-151.75,79.14,74,45,7.54,scattered clouds
22,Lompoc,US,34.64,-120.46,66.2,68,90,10.29,overcast clouds
23,Saint-Pierre,RE,-21.34,55.48,68.0,60,0,8.05,clear sky
24,Cidreira,BR,-30.18,-50.21,69.64,87,84,12.66,broken clouds
25,Antalaha,MG,-14.9,50.28,70.57,86,2,7.27,clear sky
26,Kropotkin,RU,45.44,40.58,63.0,66,0,6.64,clear sky
27,Vung Tau,VN,10.35,107.08,78.35,84,52,8.52,light rain
28,Constitucion,CL,-35.33,-72.42,56.89,76,100,18.03,light rain
29,Rikitea,PF,-23.12,-134.97,74.64,83,84,22.82,broken clouds
30,Khatanga,RU,71.97,102.5,6.93,95,100,15.21,light snow
31,Bredasdorp,ZA,-34.53,20.04,64.4,82,0,11.41,clear sky
32,Talnakh,RU,69.49,88.4,14.0,92,75,11.18,light shower snow
33,Souillac,MU,-20.52,57.52,71.6,88,75,12.75,shower rain
34,Bajna,IN,27.9,77.68,71.94,24,0,3.15,clear sky
35,Shabqadar,PK,34.21,71.56,64.58,31,0,2.26,clear sky
36,Alofi,NU,-19.06,-169.92,75.2,94,100,14.99,overcast clouds
37,Flinders,AU,-34.58,150.86,55.0,83,95,5.01,overcast clouds
38,Bethel,US,41.37,-73.41,57.99,75,96,1.01,overcast clouds
39,Hong Gai,VN,20.96,107.09,75.2,60,90,2.24,overcast clouds
40,Uvira,CD,-3.41,29.15,76.32,60,37,4.34,scattered clouds
41,Mount Gambier,AU,-37.83,140.77,46.4,75,75,9.17,broken clouds
42,Hasaki,JP,35.73,140.83,44.6,100,20,3.36,few clouds
43,Kapaa,US,22.08,-159.32,84.0,69,40,14.99,moderate rain
44,Buraydah,SA,26.33,43.98,64.4,31,0,5.5,clear sky
45,Akyab,MM,20.15,92.9,78.73,88,100,5.99,light rain
46,Okhotsk,RU,59.38,143.3,37.71,83,100,16.51,overcast clouds
47,Terme,TR,41.21,36.97,51.8,93,40,2.24,fog
48,Ushuaia,AR,-54.8,-68.3,48.2,57,75,13.87,light intensity drizzle
49,Esmeralda,CU,21.85,-78.12,80.6,83,100,6.93,light rain
50,Cherskiy,RU,68.75,161.3,17.04,93,4,5.48,clear sky
51,Kahului,US,20.89,-156.47,87.8,55,20,8.05,few clouds
52,Puerto Ayora,EC,-0.74,-90.35,77.0,69,40,14.99,scattered clouds
53,Hithadhoo,MV,-0.6,73.08,83.28,75,27,11.25,scattered clouds
54,Nikolskoye,RU,59.7,30.79,39.0,90,20,4.47,few clouds
55,Praia,CV,14.92,-23.51,78.8,83,100,16.11,overcast clouds
56,Harlingen,US,26.19,-97.7,80.6,51,1,4.7,clear sky
57,Hermanus,ZA,-34.42,19.23,62.01,90,6,3.0,clear sky
58,Nome,US,64.5,-165.41,36.0,95,90,11.41,overcast clouds
59,Healdsburg,US,38.61,-122.87,61.0,77,75,4.7,broken clouds
