City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-10-24 21:31:48,-23.12,-134.97,74.7,83,88,22.82
1,Vardo,NO,2020-10-24 21:31:49,70.37,31.11,39.45,76,100,22.59
2,Mataura,NZ,2020-10-24 21:31:49,-46.19,168.86,73.0,56,94,17.0
3,Bredasdorp,ZA,2020-10-24 21:31:50,-34.53,20.04,64.4,82,1,11.41
4,Yerbogachen,RU,2020-10-24 21:31:50,61.28,108.01,23.38,97,100,3.38
5,Touros,BR,2020-10-24 21:31:50,-5.2,-35.46,78.8,83,40,9.17
6,Huancabamba,PE,2020-10-24 21:31:51,-5.24,-79.45,63.84,70,90,3.69
7,Rincon,US,2020-10-24 21:31:51,32.3,-81.24,82.4,58,40,11.41
8,Pishin,PK,2020-10-24 21:31:51,30.58,67.0,39.43,68,0,1.57
9,Gisborne,NZ,2020-10-24 21:29:52,-38.65,178.0,73.0,58,0,5.01
10,Kruisfontein,ZA,2020-10-24 21:31:53,-34.0,24.73,63.0,83,0,1.01
11,Clyde River,CA,2020-10-24 21:22:16,70.47,-68.59,19.4,73,90,4.7
12,Kitoy,RU,2020-10-24 21:31:53,52.6,103.9,35.6,100,90,4.47
13,Ketchikan,US,2020-10-24 21:22:22,55.34,-131.65,44.6,24,1,5.82
14,Seoul,KR,2020-10-24 21:29:18,37.57,126.98,39.2,93,1,1.25
15,Tazovskiy,RU,2020-10-24 21:22:27,67.47,78.7,14.92,97,95,7.43
16,Kaitangata,NZ,2020-10-24 21:31:55,-46.28,169.85,70.09,48,100,10.94
17,Aguimes,ES,2020-10-24 21:31:55,27.91,-15.45,71.6,68,40,19.46
18,Kodiak,US,2020-10-24 21:31:56,57.79,-152.41,46.4,87,20,6.93
19,Ushuaia,AR,2020-10-24 21:31:56,-54.8,-68.3,48.2,57,75,13.87
20,Baruun-Urt,MN,2020-10-24 21:31:56,46.68,113.28,33.57,84,99,6.35
21,Albany,US,2020-10-24 21:31:57,42.6,-73.97,52.0,71,37,3.0
22,Cusuna,HN,2020-10-24 21:31:57,15.85,-85.23,81.9,83,82,9.15
23,Kysyl-Syr,RU,2020-10-24 21:31:58,63.9,122.76,15.13,95,20,5.35
24,Butaritari,KI,2020-10-24 21:31:58,3.07,172.79,81.95,66,15,6.76
25,Ribeira Grande,PT,2020-10-24 21:31:58,38.52,-28.7,66.2,93,40,17.22
26,Vila Velha,BR,2020-10-24 21:29:27,-20.33,-40.29,72.0,100,75,4.7
27,Pasighat,IN,2020-10-24 21:31:59,28.07,95.33,71.44,88,100,1.48
28,San Patricio,US,2020-10-24 21:31:59,28.02,-97.52,73.99,46,75,6.93
29,Wewak,PG,2020-10-24 21:32:00,-3.55,143.63,81.95,73,36,2.8
30,Roebourne,AU,2020-10-24 21:32:00,-20.78,117.13,64.72,86,0,8.9
31,Cidreira,BR,2020-10-24 21:32:01,-30.18,-50.21,68.54,89,63,13.09
32,Surt,LY,2020-10-24 21:32:01,31.21,16.59,68.95,68,0,4.27
33,Puerto Ayora,EC,2020-10-24 21:32:01,-0.74,-90.35,77.0,69,40,14.99
34,U Thong,TH,2020-10-24 21:32:02,14.38,99.89,71.2,81,38,3.31
35,Dubuque,US,2020-10-24 21:32:03,42.48,-90.87,42.01,52,20,6.33
36,Lebu,CL,2020-10-24 21:32:03,-37.62,-73.65,53.71,74,32,7.4
37,Punta Arenas,CL,2020-10-24 21:32:04,-53.15,-70.92,42.8,93,90,13.87
38,San Carlos De Bariloche,AR,2020-10-24 21:32:04,-41.15,-71.31,50.0,57,40,19.46
39,Norsup,VU,2020-10-24 21:32:05,-16.07,167.38,80.6,83,40,9.17
40,Verkhnyaya Inta,RU,2020-10-24 21:32:05,65.98,60.31,20.28,92,95,12.82
41,Bluff,NZ,2020-10-24 21:32:05,-46.6,168.33,73.0,56,89,17.0
42,Qaanaaq,GL,2020-10-24 21:32:06,77.48,-69.36,17.28,91,100,13.04
43,Vaini,TO,2020-10-24 21:32:06,-21.2,-175.2,75.2,88,90,11.41
44,Mattru,SL,2020-10-24 21:32:07,7.62,-11.83,75.13,93,65,2.77
45,Zhoucheng,CN,2020-10-24 21:32:07,35.91,116.31,48.9,54,80,7.14
46,Nikolskoye,RU,2020-10-24 21:32:08,59.7,30.79,39.0,93,20,4.47
47,Yatou,CN,2020-10-24 21:32:08,37.15,122.38,48.45,49,74,4.41
48,Sambava,MG,2020-10-24 21:32:09,-14.27,50.17,72.21,85,24,10.74
49,Cape Town,ZA,2020-10-24 21:32:09,-33.93,18.42,61.0,93,20,3.36
50,Vicuna,CL,2020-10-24 21:32:09,-30.03,-70.71,73.99,26,0,1.01
51,Nome,US,2020-10-24 21:32:10,64.5,-165.41,36.0,96,90,11.41
52,New Norfolk,AU,2020-10-24 21:27:16,-42.78,147.06,46.0,64,2,3.0
53,Hamilton,US,2020-10-24 21:32:11,39.18,-84.53,51.8,53,75,11.41
54,Port Alfred,ZA,2020-10-24 21:32:11,-33.59,26.89,65.66,89,8,5.37
55,Castro,BR,2020-10-24 21:31:06,-24.79,-50.01,64.31,89,73,4.34
56,Tete,MZ,2020-10-24 21:32:12,-16.16,33.59,82.4,42,0,8.05
57,Esperance,AU,2020-10-24 21:32:12,-33.87,121.9,50.0,100,9,11.41
58,Moron,AR,2020-10-24 21:32:13,-34.65,-58.62,75.99,83,75,6.93
59,Yulara,AU,2020-10-24 21:32:13,-25.24,130.99,59.0,47,0,11.41
60,Constitucion,CL,2020-10-24 21:32:14,-35.33,-72.42,55.18,79,100,16.13
61,Ariquemes,BR,2020-10-24 21:32:14,-9.91,-63.04,86.22,58,56,2.66
62,Bethel,US,2020-10-24 21:30:02,41.37,-73.41,57.99,77,95,10.45
63,Fairbanks,US,2020-10-24 21:21:39,64.84,-147.72,30.0,79,20,2.84
64,Banda Aceh,ID,2020-10-24 21:32:15,5.56,95.32,76.6,83,100,8.46
65,Ponta Delgada,PT,2020-10-24 21:22:27,37.73,-25.67,68.0,82,75,17.22
66,Saint-Philippe,RE,2020-10-24 21:32:16,-21.36,55.77,71.6,60,0,8.05
67,Fare,PF,2020-10-24 21:32:17,-16.7,-151.02,79.74,72,31,6.6
68,Busselton,AU,2020-10-24 21:32:17,-33.65,115.33,57.0,50,53,10.6
69,Axim,GH,2020-10-24 21:32:17,4.87,-2.24,78.03,87,84,8.66
70,Shepsi,RU,2020-10-24 21:32:18,44.04,39.15,66.87,38,0,3.33
71,Torres,BR,2020-10-24 21:32:18,-29.34,-49.73,68.86,89,73,9.84
72,Nchelenge,ZM,2020-10-24 21:32:19,-9.35,28.73,76.78,66,0,3.02
73,Codrington,AU,2020-10-24 21:22:31,-38.27,141.97,47.16,69,51,16.62
74,Upernavik,GL,2020-10-24 21:32:19,72.79,-56.15,22.78,95,100,10.67
75,Yakeshi,CN,2020-10-24 21:32:20,49.28,120.73,20.93,94,0,1.32
76,Ponta Do Sol,PT,2020-10-24 21:32:21,32.67,-17.1,66.2,68,40,8.05
77,Grand Gaube,MU,2020-10-24 21:32:21,-20.01,57.66,69.01,87,35,4.0
78,Cacador,BR,2020-10-24 21:32:21,-26.78,-51.02,62.85,88,97,4.63
79,Yellowknife,CA,2020-10-24 21:31:29,62.46,-114.35,26.6,58,40,9.17
80,Hobart,AU,2020-10-24 21:29:34,-42.88,147.33,46.0,65,40,10.29
81,Arraial Do Cabo,BR,2020-10-24 21:32:22,-22.97,-42.03,69.8,100,90,13.87
82,Igarka,RU,2020-10-24 21:32:23,67.47,86.58,11.93,96,96,13.04
83,Nsanje,MW,2020-10-24 21:32:23,-16.92,35.26,71.08,81,0,3.83
84,Bathsheba,BB,2020-10-24 21:32:24,13.22,-59.52,84.2,70,40,20.8
85,Mar Del Plata,AR,2020-10-24 21:32:24,-38.0,-57.56,60.8,93,90,6.93
86,Klaksvik,FO,2020-10-24 21:32:24,62.23,-6.59,46.4,81,2,16.11
87,Cabog,PH,2020-10-24 21:32:25,15.32,121.37,77.99,81,93,2.39
88,Calvinia,ZA,2020-10-24 21:32:26,-31.47,19.78,65.05,31,0,5.77
89,Beyneu,KZ,2020-10-24 21:32:26,45.32,55.2,53.78,46,100,10.56
90,Fortuna,US,2020-10-24 21:28:02,40.6,-124.16,61.0,67,90,11.41
91,Kenai,US,2020-10-24 21:32:27,60.55,-151.26,44.6,72,90,14.99
92,Atuona,PF,2020-10-24 21:32:28,-9.8,-139.03,78.53,76,1,23.11
93,Saskylakh,RU,2020-10-24 21:32:28,71.92,114.08,14.47,95,100,21.47
94,Novikovo,RU,2020-10-24 21:32:28,51.15,37.89,53.98,92,100,7.23
95,San Bartolome De Tirajana,ES,2020-10-24 21:32:29,27.92,-15.57,71.6,68,40,19.46
96,Betanzos,ES,2020-10-24 21:32:29,43.28,-8.21,64.0,87,40,26.4
97,Mandera,KE,2020-10-24 21:32:30,3.94,41.87,81.7,65,100,19.04
98,Tynda,RU,2020-10-24 21:32:30,55.17,124.72,20.1,96,0,1.95
99,Meulaboh,ID,2020-10-24 21:22:44,4.14,96.13,73.89,95,100,6.31
100,Birobidzhan,RU,2020-10-24 21:32:31,48.8,132.95,37.02,79,87,8.34
101,Beringovskiy,RU,2020-10-24 21:32:31,63.05,179.32,30.83,96,100,14.9
102,Pevek,RU,2020-10-24 21:32:31,69.7,170.31,26.71,92,0,13.11
103,Sao Filipe,CV,2020-10-24 21:28:08,14.9,-24.5,81.39,74,95,10.29
104,Inverness,GB,2020-10-24 21:29:59,57.48,-4.22,45.0,93,1,2.24
105,Avarua,CK,2020-10-24 21:32:33,-21.21,-159.78,77.0,65,52,13.87
106,Tuktoyaktuk,CA,2020-10-24 21:32:33,69.45,-133.04,15.8,92,75,4.7
107,Partizanskoye,RU,2020-10-24 21:32:34,55.5,94.39,25.18,92,36,12.88
108,Amapa,BR,2020-10-24 21:32:34,1.0,-52.0,84.94,52,72,3.53
109,Pedernales,DO,2020-10-24 21:32:35,18.04,-71.74,84.2,83,40,18.34
110,Sawakin,SD,2020-10-24 21:32:35,19.11,37.33,80.28,76,0,5.7
111,Hithadhoo,MV,2020-10-24 21:31:03,-0.6,73.08,83.3,74,45,10.76
112,Jamestown,US,2020-10-24 21:32:36,42.1,-79.24,43.0,80,90,5.82
113,Yashkino,RU,2020-10-24 21:32:36,55.87,85.43,24.8,79,40,8.95
114,Le Mars,US,2020-10-24 21:32:37,42.79,-96.17,30.99,58,40,10.29
115,Longyearbyen,SJ,2020-10-24 21:32:37,78.22,15.64,21.2,79,75,3.36
116,Moengo,SR,2020-10-24 21:32:37,5.62,-54.4,81.52,74,54,5.88
117,Iqaluit,CA,2020-10-24 21:32:38,63.75,-68.51,26.6,86,90,4.54
118,Kapaa,US,2020-10-24 21:32:39,22.08,-159.32,84.0,69,40,14.99
119,Marienburg,PL,2020-10-24 21:32:39,54.04,19.03,50.0,93,0,6.93
120,Chuy,UY,2020-10-24 21:32:39,-33.7,-53.46,63.82,95,21,6.15
121,Comodoro Rivadavia,AR,2020-10-24 21:30:01,-45.87,-67.5,60.8,59,75,14.99
122,Abulug,PH,2020-10-24 21:32:40,18.45,121.45,79.72,86,100,12.66
123,Presidente Medici,BR,2020-10-24 21:32:41,-11.18,-61.9,81.77,67,92,4.76
124,Katsuura,JP,2020-10-24 21:32:41,35.13,140.3,57.99,50,40,16.11
125,Moose Factory,CA,2020-10-24 21:32:42,51.26,-80.61,33.8,47,90,10.29
126,Tiksi,RU,2020-10-24 21:32:42,71.69,128.87,11.77,92,100,24.49
127,Kavieng,PG,2020-10-24 21:32:43,-2.57,150.8,84.27,66,92,3.44
128,Gimli,CA,2020-10-24 21:29:19,50.63,-96.99,30.0,98,85,5.99
129,Kyritz,DE,2020-10-24 21:32:43,52.94,12.4,57.99,79,66,5.01
130,Buchmany,UA,2020-10-24 21:32:44,51.07,28.04,49.28,95,66,7.38
131,Atar,MR,2020-10-24 21:32:44,20.52,-13.05,88.93,22,100,8.3
132,Hermanus,ZA,2020-10-24 21:32:45,-34.42,19.23,62.01,90,29,3.0
